vertical_Accel_x,vertical_Accel_y,vertical_Accel_z,accel_time_list
-0.078,9.011,5.722,6.526
-0.742,9.161,5.258,6.536
-0.459,8.598,4.541,6.538
0.81,7.814,4.11,6.549
0.968,7.12,3.524,6.625
0.128,7.72,4.404,6.626
0.704,9.86,5.972,6.628
0.612,10.68,5.416,6.63
-0.988,10.868,5.66,6.632
-0.11,10.489,4.852,6.725
0.143,9.617,4.664,6.726
0.161,9.348,5.035,6.728
0.744,9.708,4.889,6.73
0.587,9.916,4.778,6.731
1.153,9.298,4.825,6.825
1.383,8.911,5.853,6.827
2.247,9.002,5.975,6.829
2.006,8.796,4.649,6.83
1.847,8.602,5.175,6.832
2.621,6.874,6.721,6.925
2.616,7.205,6.716,6.936
2.616,7.205,6.716,6.937
2.797,6.999,6.837,6.939
2.649,6.783,6.689,6.941
1.816,7.257,5.996,7.025
1.571,7.258,5.982,7.03
1.444,7.508,6.089,7.031
1.456,7.892,6.611,7.033
1.432,8.515,7.092,7.035
1.511,10.579,4.759,7.125
0.883,10.635,4.649,7.126
-0.523,10.247,4.298,7.128
-1.449,11.497,4.313,7.13
-1.006,12.512,5.75,7.131
-0.214,13.227,6.316,7.224
-0.443,13.485,6.663,7.226
-0.817,12.033,6.69,7.227
-0.972,9.244,5.611,7.233
-1.115,7.529,4.374,7.324
-0.811,7.321,4.441,7.34
-0.186,7.673,5.684,7.342
0.231,8.638,6.336,7.343
0.125,9.35,6.485,7.345
-0.277,10.108,5.157,7.424
-0.734,10.589,5.015,7.426
-1.247,10.751,5.032,7.431
-3.385,10.668,4.748,7.432
-3.699,10.285,4.63,7.434
-3.453,10.267,2.993,7.499
-3.422,9.578,2.489,7.501
-3.064,9.156,1.938,7.502
-3.204,8.715,1.093,7.512
-3.007,7.926,1.264,7.513
-2.732,7.327,1.694,7.623
-1.997,7.189,1.73,7.625
-1.503,7.511,1.77,7.626
-1.246,7.083,1.545,7.628
-1.109,6.605,0.846,7.726
-0.895,6.786,0.952,7.739
-1.208,7.082,0.796,7.743
-1.499,7.677,0.65,7.745
-1.632,8.429,0.484,7.746
-1.886,8.881,0.507,7.748
-3.449,8.453,0.434,7.824
-3.609,8.774,0.328,7.834
-4.16,9.921,0.294,7.836
